"uid","pid","tstamp","crdate","cruser_id","deleted","hidden","starttime","endtime","sys_language_uid","l10n_parent","l10n_state","l10n_diffsource","t3ver_oid","t3ver_id","t3ver_label","t3ver_wsid","t3ver_state","t3ver_stage","t3ver_count","t3ver_tstamp","t3ver_move_id","gnd_id","first_composer","intertextual_entity","title","date_of_production","geographic_area_code","zzz_deleted_instrumentation","geographical_area_code","super_work","opus_no","index_no","medium_of_performance","unmodified_gnd_data","zzz_deleted_added_by_project","instruments","gnd_status","form","title_no","title_instrument","alt_titles","tonality","language","final","confirmed_by_slub","zzz_deleted_alt_instrument_ids","genre_ids","main_instrumentation","alt_instrumentation","genres","instrument_ids","alt_instrument_names"
"55","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217675507","180","0","Quartette",NULL,,,,"1665","20, Nr. 1",,,"1","0","3",,"1",,"Violoncello",,"G-Dur",,"2","1",,"4176618-0","0","0","1",,
"56","0","1643120079","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217675981","42","0","Variationen",NULL,,,,"0","4",,,"1","0","1","n","1",,"Gitarre","Variations facile","G-Dur",,"2","1",,"4187414-6","0","0","1",,
"57","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217677321","95","0","Die neumodische Mütze","1809-01-01",,,,"0",,,,"1","0","2",,"1",,,"Hoch schalle dir von Mund zu Munde",,,"2","1",,"4035669-3","0","0","1",,
"58","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217720138","83","0","Duos",NULL,,,,"0","11",,,"1","0","1","n","1",,"Violine (2)",,,,"2","1",,"4138632-2","0","0","1",,
"59","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217720693","38","0","Gesänge","1809-01-01",,,,"0","11",,,"1","0","1",,"2",,,"Gesänge $ Terzette",,,"2","1",,"4874050-0$4020470-4","0","0","1",,
"60","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217721770","180","0","Quartette",NULL,,,,"1665","20, Nr. 2",,,"1","0","3","n","1",,"Violoncello",,"d-Moll",,"2","1",,"4176618-0","0","0","1",,
"61","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217722777","132","0","Duos",NULL,,,,"0","16",,,"1","0","1","p","1",,"Violine (2)","Duos facile",,,"2","1",,"4138632-2","0","0","1",,
"62","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217723250","86","0","Polonaisen",NULL,,,,"0",,,,"1","0","1","n","1",,"Klavier",,"G-Dur",,"2","1",,"4209517-7","0","0","1",,
"63","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217724060","91","0","Amusement","1805-01-01",,,,"0","30",,,"1","0","1",,"1",,,"Amusemens","Es-Dur",,"2","1",,"4147584-7","0","0","1",,
"64","0","1643120080","1602495937","0","0","0","0","0","0","0",NULL,,"0","0",,"0","0","0","0","0","0","1217732292","88","0","Sonaten","1809-01-01",,,,"0","19",,,"1","0","2","n","2",,"Klavier","Große Sonate $ Duos","D-Dur",,"2","1",,"4138632-2$4131190-5","0","0","2",,
