"uid_local","uid_foreign","sorting","sorting_foreign"
"513","1","1","0"
"514","1","2","0"
"514","10","1","0"
"515","1","2","0"
"515","17","1","0"
"517","842","1","0"
"517","5876","1","0"
"518","1","4","0"
"518","5","1","0"
"518","9","2","0"
"518","10","3","0"
"519","1","1","0"
"520","1697","2","0"
"520","3584","1","0"
"520","4282","1","0"
"521","1","2","0"
"521","17","1","0"
"522","1","2","0"
"522","17","1","0"
"524","1","1","0"
"525","1","1","0"
"526","1","1","0"
"527","1","1","0"
"527","402","3","0"
"527","768","2","0"
"527","4155","2","0"
"528","1","2","0"
"528","17","1","0"
"529","1","2","0"
"529","17","1","0"
"530","1697","2","0"
"530","3584","1","0"
"530","3741","1","0"
"531","1","1","0"
"532","1","1","0"
"533","1","1","0"
"534","1","2","0"
"534","17","1","0"
"535","1","2","0"
"535","17","1","0"
"536","1","1","0"
"537","1","1","0"
"538","1","1","0"
"539","1","1","0"
"540","1","2","0"
"540","17","1","0"
"541","1","2","0"
"541","17","1","0"
"542","3165","3","0"
"542","3849","2","0"
"542","4694","1","0"
"542","4697","1","0"
"543","1","1","0"
"544","1","1","0"
"546","1","1","0"
"546","3158","3","0"
"546","3843","2","0"
"546","4513","1","0"
"547","1","1","0"
"548","1","1","0"
"549","1","1","0"
"550","1","2","0"
"550","17","1","0"
"551","1","2","0"
"551","17","1","0"
"552","1","2","0"
"552","17","1","0"
"553","402","4","0"
"553","473","3","0"
"553","768","2","0"
"553","4612","1","0"
"553","6392","1","0"
"553","6394","2","0"
"554","1","2","0"
"554","10","1","0"
"555","1","1","0"
"556","3165","2","0"
"556","3849","1","0"
"556","4670","1","0"
"557","1","1","0"
"557","3158","3","0"
"557","3779","1","0"
"557","3843","2","0"
"558","1","1","0"
"558","451","3","0"
"558","4610","2","0"
"558","6256","1","0"
"559","1","1","0"
"560","1","1","0"
"560","451","4","0"
"560","453","5","0"
"560","4272","1","0"
"560","4274","2","0"
"560","4610","2","0"
"560","4614","3","0"
"561","1","2","0"
"561","17","1","0"
"562","1","2","0"
"562","17","1","0"
"563","1","2","0"
"563","17","1","0"
"564","210","14","0"
"564","402","13","0"
"564","451","8","0"
"564","453","10","0"
"564","457","11","0"
"564","473","9","0"
"564","768","6","0"
"564","1537","7","0"
"564","1697","12","0"
"564","3584","5","0"
"564","3999","1","0"
"564","4001","2","0"
"564","4003","3","0"
"564","4005","4","0"
"564","4007","5","0"
"564","4009","6","0"
"564","4011","7","0"
"564","4610","1","0"
"564","4612","2","0"
"564","4614","3","0"
"564","4616","4","0"
"565","402","4","0"
"565","768","2","0"
"565","3165","3","0"
"565","3849","1","0"
"565","5259","1","0"
"565","5262","2","0"
"566","210","15","0"
"566","402","16","0"
"566","451","9","0"
"566","453","12","0"
"566","457","13","0"
"566","459","14","0"
"566","473","11","0"
"566","768","8","0"
"566","1537","7","0"
"566","2562","6","0"
"566","3274","10","0"
"566","3924","2","0"
"566","4036","1","0"
"566","4038","2","0"
"566","4040","3","0"
"566","4042","4","0"
"566","4044","5","0"
"566","4046","6","0"
"566","4047","7","0"
"566","4049","8","0"
"566","4610","1","0"
"566","4612","3","0"
"566","4614","4","0"
"566","4616","5","0"
"567","210","14","0"
"567","402","13","0"
"567","451","8","0"
"567","453","10","0"
"567","457","11","0"
"567","473","9","0"
"567","768","6","0"
"567","1537","7","0"
"567","1697","12","0"
"567","3584","5","0"
"567","4610","1","0"
"567","4612","2","0"
"567","4614","3","0"
"567","4616","4","0"
"567","5927","1","0"
"567","5929","2","0"
"567","5931","3","0"
"567","5933","4","0"
"567","5935","5","0"
"567","5937","6","0"
"567","5939","7","0"
"568","210","10","0"
"568","402","9","0"
"568","451","6","0"
"568","453","7","0"
"568","768","4","0"
"568","1537","5","0"
"568","1697","8","0"
"568","3584","3","0"
"568","3694","1","0"
"568","3696","2","0"
"568","3698","3","0"
"568","3700","4","0"
"568","3702","5","0"
"568","4610","1","0"
"568","4614","2","0"
"569","4","1","0"
"573","4","1","0"
"574","4","1","0"
"575","210","14","0"
"575","402","13","0"
"575","451","8","0"
"575","453","10","0"
"575","457","11","0"
"575","473","9","0"
"575","768","6","0"
"575","1537","7","0"
"575","1697","12","0"
"575","3584","5","0"
"575","4610","1","0"
"575","4612","2","0"
"575","4614","3","0"
"575","4616","4","0"
"575","5311","1","0"
"575","5313","2","0"
"575","5315","3","0"
"575","5317","4","0"
"575","5319","5","0"
"575","5321","6","0"
"575","5323","7","0"
"576","3165","2","0"
"576","3849","1","0"
"576","4332","1","0"
"578","1","1","0"
"578","451","3","0"
"578","4610","2","0"
"578","6251","1","0"
"579","1","2","0"
"579","17","1","0"
"580","1","1","0"
"581","5","1","0"
